date,spend,sales,installation
2022-06-17,297767.1652337051,869.0,11222.0
2022-06-18,426213.59975470044,15965.0,66400.0
2022-06-19,229217.130624755,218.0,10169.0
2022-06-20,219389.05229632993,149.0,7937.0
2022-06-21,218295.7217526376,133.0,6764.0
2022-06-22,217314.6151371356,149.0,6438.0
2022-06-23,220939.4501518257,121.0,5567.0
2022-06-24,184839.2629731127,133.0,5443.0
2022-06-25,188432.8042989141,136.0,5931.0
2022-06-26,181261.8745675015,144.0,6415.0
2022-06-27,99783.18181397501,153.0,5130.0
2022-06-28,97735.88248728252,322.0,6271.0
2022-06-29,95224.75800685331,293.0,5378.0
2022-06-30,96655.99886739031,498.0,5169.0
2022-07-01,32397.00569502901,128.0,4653.0
2022-07-02,38660.50303661151,147.0,5631.0
2022-07-03,35247.897162082205,153.0,5035.0
2022-07-04,37081.69689763271,109.0,4701.0
2022-07-05,35937.67823837581,125.0,5546.0
2022-07-06,35650.93295246661,131.0,5370.0
2022-07-07,36219.11256210211,258.0,5691.0
2022-07-08,36096.54243403021,172.0,5490.0
2022-07-09,39604.736102142015,177.0,5697.0
2022-07-10,37898.217326737205,235.0,6919.0
2022-07-11,60061.77623392131,280.0,8020.0
2022-07-12,78590.9238405998,388.0,9593.0
2022-07-13,79628.35452597881,667.0,9944.0
2022-07-14,92475.9950192836,5164.0,35702.0
2022-07-15,36887.56452636961,435.0,10937.0
2022-07-16,41864.31822516321,418.0,9655.0
2022-07-17,39280.608227227414,308.0,8087.0
2022-07-18,39315.67188455431,198.0,7150.0
2022-07-19,39620.74377843931,229.0,6753.0
2022-07-20,86149.9300755251,262.0,8180.0
2022-07-21,94382.39981826,1037.0,11885.0
2022-07-22,92162.72169105691,322.0,7246.0
2022-07-23,153519.50798201442,4246.0,27188.0
2022-07-24,39092.392185786106,282.0,8208.0
2022-07-25,34016.45192565651,239.0,5919.0
2022-07-26,39813.700476085614,338.0,8998.0
2022-07-27,70022.28405035101,724.0,10420.0
2022-07-28,81666.89169789411,1923.0,20740.0
2022-07-29,75185.10660229661,759.0,8567.0
2022-07-30,76346.52539387462,2232.0,16918.0
2022-07-31,39824.53215191651,870.0,10976.0
2022-08-01,417215.3197644628,1191.0,16420.0
2022-08-02,460613.93539714284,921.0,14223.0
2022-08-03,494593.0286250886,1241.0,13921.0
2022-08-04,486129.64860186,2220.0,16820.0
2022-08-05,614291.0238498137,10585.0,44823.0
2022-08-06,621226.907444858,6373.0,45412.0
2022-08-07,632923.4603320032,3422.0,38269.0
2022-08-08,335363.07861992565,380.0,14831.0
2022-08-09,343130.0538797253,286.0,10818.0
2022-08-10,342723.39066180476,284.0,10807.0
2022-08-11,373760.37622894906,312.0,10776.0
2022-08-12,383886.9911182257,751.0,12127.0
2022-08-13,433221.90361883986,3548.0,32394.0
2022-08-14,442669.71211468615,1953.0,24124.0
2022-08-15,400148.68064772926,677.0,17694.0
2022-08-16,376430.71708088455,213.0,11074.0
2022-08-17,365586.3366288544,198.0,9629.0
2022-08-18,363263.60533071664,279.0,10748.0
2022-08-19,387750.24088254623,525.0,12684.0
2022-08-20,565733.5715219891,7526.0,45402.0
2022-08-21,427376.49505956145,1152.0,23821.0
2022-08-22,478798.9845071168,5478.0,50355.0
2022-08-23,400807.5712412369,221.0,10530.0
2022-08-24,391092.17151603044,186.0,9281.0
2022-08-25,388727.2941037777,159.0,7486.0
2022-08-26,391451.1050403255,304.0,9018.0
2022-08-27,394466.77757249,1426.0,21691.0
2022-08-28,383136.72726816183,391.0,13339.0
2022-08-29,386735.2598609689,150.0,8058.0
2022-08-30,412461.66504138027,390.0,10337.0
2022-08-31,411248.61799971876,820.0,13484.0
